id,"nombre","nombrecorrecto",idip,"nombreviejo",idp,year,"foto","link","bloque","region","distrito",idprov
847,"RODRIGUEZ, Marcela Virginia","RODRIGUEZ, Marcela Virginia",481,NULL,1.39429385182998,2008,"mrodriguez_medium.jpg","http://s6.postimage.org/bcw1e7kn1/mrodriguez_medium.jpg","DEMOCRACIA IGUALITARIA Y PARTICIPATIVA (D.I.P.)","BUENOS AIRES","BUENOS AIRES",6
848,"RODRIGUEZ, Evaristo Arturo","RODRIGUEZ, Evaristo Arturo",480,NULL,-0.960053371934369,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","FRENTE PARA LA VICTORIA - PJ","SUR","SANTA CRUZ",78
849,"ROJKES de ALPEROVICH, Beatriz Liliana","ROJKES de ALPEROVICH, Beatriz Liliana",483,NULL,-1.03070465298249,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","FRENTE PARA LA VICTORIA - PJ","NOROESTE","TUCUMAN",90
850,"ROLDAN, Jose Maria","ROLDAN, José María",484,NULL,0.0965783036752695,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","FRENTE DE TODOS","NORESTE","CORRIENTES",18
851,"ROMAN, Carmen","ROMAN, Carmen",485,NULL,-0.978692100432953,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","FRENTE PARA LA VICTORIA - PJ","NORESTE","FORMOSA",34
852,"ROSSI, Agustin Oscar","ROSSI, Agustín Oscar",488,NULL,-0.91072179108688,2008,"rossia.jpg","http://s6.postimage.org/aszduhkxt/rossia.jpg","FRENTE PARA LA VICTORIA - PJ","CENTRO","SANTA FE",82
853,"ROSSI, Alejandro Luis","ROSSI, Alejandro Luis",489,NULL,-0.838551442750192,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","FRENTE PARA LA VICTORIA - PJ","CENTRO","SANTA FE",82
854,"ROSSI, Cipriana Lorena","ROSSI, Cipriana Lorena",490,NULL,0.0927303660476892,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","FRENTE PARA LA VICTORIA - PJ","SUR","RIO NEGRO",62
855,"RUIZ, Ramon","RUIZ, Ramón",496,NULL,-0.795990429844032,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","FRENTE PARA LA VICTORIA - PJ","BUENOS AIRES","BUENOS AIRES",6
856,"SALIM, Juan Arturo","SALIM, Juan Arturo",499,NULL,-1.01831405603667,2008,"jsalim_medium.jpg","http://s6.postimage.org/dx9l7wksd/jsalim_medium.jpg","FRENTE PARA LA VICTORIA - PJ","NOROESTE","TUCUMAN",90
